Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Maruti Wagon R ZXI 1.2,"47,007",Petrol,Manual,5,"Anna Nagar, Chennai"
2016,Hyundai Grand i10 Asta Option AT,"15,368",Petrol,Automatic,4.58,"Thiruverkadu, Chennai"
2021,Maruti S-Presso VXI 2019-2022,"43,309",Petrol,Manual,4.30,"Chromepet, Chennai"
2023,Toyota Innova Hycross VX(O) 7STR Hybrid,"16,000",Petrol,Automatic,31.50,"Thygaraya Nagar, Chennai"
2022,Maruti S-Presso VXI Opt CNG,"48,406",CNG,Manual,4.64,"Ganapathipuram, Chennai"
2018,Tata Tiago 1.2 Revotron XT,"53,593",Petrol,Manual,3.94,"Vadapalani, Chennai"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"90,158",Petrol,Manual,4.87,"Vadapalani, Chennai"
2016,Land Rover Range Rover Sport Autobiography,"45,000",Petrol,Automatic,83,"Kottivakkam, Chennai"
2019,Maruti Celerio VXI,"97,733",Petrol,Manual,3.89,"Vadapalani, Chennai"
2019,Renault Duster RXZ 110PS AMT BSIV,"60,000",Diesel,Automatic,9.70,"Anna Nagar, Chennai"
2016,Honda Jazz 1.2 V AT i VTEC,"77,929",Petrol,Automatic,4.79,"Thiruverkadu, Chennai"
2022,Kia Sonet GTX Plus Diesel BSVI,"40,000",Diesel,Manual,11,"Ashoknagar, Chennai"
2016,Maruti Wagon R AMT VXI Option,"54,000",Petrol,Automatic,4.25,"Kovilambakkam, Chennai"
2018,Honda City VX MT,"28,036",Petrol,Manual,8.68,"Vadapalani, Chennai"
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"1,05,299",Petrol,Manual,4.71,"Vadapalani, Chennai"
2019,Volkswagen Polo 1.0 MPI Comfortline,"47,092",Petrol,Manual,5.10,"Vadapalani, Chennai"
2014,Hyundai Grand i10 Sportz,"60,498",Petrol,Manual,3.31,"Ganapathipuram, Chennai"
2023,Toyota Fortuner 4X2 Diesel,"57,000",Diesel,Manual,38,"Ashoknagar, Chennai"
2014,Skoda Rapid 1.6 TDI Elegance,"1,10,000",Diesel,Manual,4.75,"Kovilambakkam, Chennai"
2021,Volkswagen Polo 1.0 MPI Trendline,"26,237",Petrol,Manual,5.39,"Ganapathipuram, Chennai"
2018,Renault KWID Climber 1.0 MT,"72,383",Petrol,Manual,3.89,"Vadapalani, Chennai"
2016,Maruti Swift Dzire VXI,"74,570",Petrol,Manual,4.89,"Ganapathipuram, Chennai"
2021,Mahindra Thar LX 4WD Convert Top AT BSVI,"40,000",Petrol,Automatic,14.50,"Anna Nagar West Extension, Chennai"
2018,Maruti Baleno 1.2 CVT Delta,"73,375",Petrol,Automatic,5.06,"Thiruverkadu, Chennai"
2018,Maruti Baleno 1.2 Zeta,"94,128",Petrol,Manual,5.39,"Thiruverkadu, Chennai"
2018,Jeep Compass 2.0 Limited,"94,000",Diesel,Manual,10,"Ashoknagar, Chennai"
