Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Maruti Vitara Brezza VDi,"70,868",Diesel,Manual,8.75,"Alwal, Hyderabad"
2013,Maruti Swift VDI,"95,444",Diesel,Manual,4.30,"Musheerabad Dso, Hyderabad"
2016,Hyundai i20 Asta 1.4 CRDi,"1,22,000",Diesel,Manual,5.70,"L B Nagar, Hyderabad"
2019,Hyundai i20 Petrol Magna,"53,749",Petrol,Manual,6.50,"Gandhi Bhawan, Hyderabad"
2021,Skoda Rapid 1.0 TSI Style,"38,200",Petrol,Manual,9.45,"Madhapur, Hyderabad"
2011,Maruti Wagon R LXI,"63,071",Petrol,Manual,2.40,"Nagole, Hyderabad"
2018,Maruti Vitara Brezza VDi,"1,02,034",Diesel,Manual,7.95,"Nanakramguda, Hyderabad"
2015,Honda City VX MT,"99,116",Petrol,Manual,5.71,"Miyapur, Hyderabad"
2019,Maruti Vitara Brezza VDi AMT,"69,000",Diesel,Automatic,9.25,"Lb Nagar, Hyderabad"
2016,Hyundai i20 Sportz 1.4 CRDi,"1,01,969",Diesel,Manual,5.67,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2014,Hyundai Grand i10 1.2 Kappa Asta,"56,677",Petrol,Manual,4.29,"Uppal, Hyderabad"
2013,Maruti Swift VDI,"90,638",Diesel,Manual,3.80,"Gandhi Bhawan, Hyderabad"
2018,Mahindra Bolero Power Plus ZLX,"1,95,194",Diesel,Manual,6.35,"Lb Nagar, Hyderabad"
2013,Hyundai i10 Era,"89,000",Petrol,Manual,2.95,"Madhapur, Hyderabad"
2010,Hyundai i20 Petrol Magna,"77,126",Petrol,Manual,2.19,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2015,Maruti Wagon R LXI BS IV,"46,545",Petrol,Manual,3.99,"Musheerabad Dso, Hyderabad"
2013,Toyota Etios G,"48,696",Petrol,Manual,3.87,"Miyapur, Hyderabad"
2020,Mercedes-Benz C-Class Prime C 220d,"47,000",Diesel,Automatic,38.95,"Banjara Hills, Hyderabad"
2022,Hyundai Venue SX Diesel,"48,900",Diesel,Manual,11.88,"Madhapur, Hyderabad"
2018,Maruti Vitara Brezza ZDi Plus,"1,03,479",Diesel,Manual,7.75,"Lb Nagar, Hyderabad"
2019,Maruti Ciaz Alpha BSIV,"78,184",Petrol,Manual,6.83,"Begumbazar, Hyderabad"
2015,Mahindra TUV 300 T8,"1,43,000",Diesel,Manual,5.50,"Chandulalbaradari, Hyderabad"
2017,Maruti S Cross Zeta DDiS 200 SH,"89,000",Diesel,Manual,7.80,"Lb Nagar, Hyderabad"
2014,Maruti Swift Dzire VDI,"92,000",Diesel,Manual,5.20,"Lb Nagar, Hyderabad"
2019,Ford Endeavour Titanium Plus 4X4,"1,55,309",Diesel,Automatic,26,"Madhapur, Hyderabad"
2017,Hyundai Grand i10 1.2 Kappa Asta,"45,805",Petrol,Manual,4.96,"Miyapur, Hyderabad"
2018,Toyota Innova Crysta 2.4 VX MT BSIV,"1,24,000",Diesel,Manual,19,"Lb Nagar, Hyderabad"
2010,Hyundai i20 1.2 Asta,"50,000",Petrol,Manual,3,"Gandhi Bhawan, Hyderabad"
2007,Honda City GXi,"69,000",Petrol,Manual,2.40,"Lb Nagar, Hyderabad"
2012,Volvo XC60 D3 Kinetic,"1,49,278",Diesel,Automatic,9.95,"Nehrunagar, Hyderabad"
2017,Maruti Ciaz Alpha Diesel,"1,13,000",Diesel,Manual,7.50,"Lb Nagar, Hyderabad"
2014,Nissan Sunny Diesel XV,"85,000",Diesel,Manual,4.35,"L B Nagar, Hyderabad"
2019,Hyundai i20 Sportz Plus Diesel,"56,000",Diesel,Manual,7,"Uppal, Hyderabad"
2011,Hyundai i10 Sportz AT,"66,127",Petrol,Automatic,3.50,"Nagol, Hyderabad"
2021,Honda City ZX MT Diesel,"58,000",Diesel,Manual,12.25,"Lb Nagar, Hyderabad"
2014,Maruti Swift RS VXI,"73,875",Petrol,Manual,4.50,"Gandhi Bhawan, Hyderabad"
2020,Toyota Glanza V CVT,"83,276",Petrol,Automatic,7.20,"Gandhi Bhawan, Hyderabad"
2018,Maruti Wagon R VXI BS IV,"30,000",Petrol,Manual,4.25,Hyderabad
2018,Maruti Vitara Brezza ZDi Plus AMT,"85,100",Diesel,Automatic,9.65,"Bowenpally, Hyderabad"
2019,Hyundai Santro Sportz,"14,095",Petrol,Manual,4.86,"Miyapur, Hyderabad"
2017,Honda City i VTEC V,"1,15,160",Petrol,Manual,5.58,"Rangareddi, Hyderabad"
2018,Maruti Vitara Brezza VDi,"1,01,334",Diesel,Manual,7.90,"Gandhi Bhawan, Hyderabad"
2018,Honda WR-V i-DTEC VX,"83,562",Diesel,Manual,7.90,"Nanakramguda, Hyderabad"
2011,Hyundai i10 Sportz,"89,000",Petrol,Manual,2.40,"Lb Nagar, Hyderabad"
2016,BMW 3 Series GT Luxury Line,"55,000",Diesel,Automatic,21.75,"Bowenpally, Hyderabad"
2013,Hyundai i10 Magna,"62,000",Petrol,Manual,3.10,"Bowenpally, Hyderabad"
2012,Hyundai i20 Sportz 1.4 CRDi,"98,738",Diesel,Manual,4.30,"Gandhi Bhawan, Hyderabad"
2018,Mercedes-Benz GLS 350d 4MATIC,"62,000",Diesel,Automatic,58,"Ramgopalpet, Hyderabad"
2018,Hyundai Creta 1.6 VTVT SX Plus,"46,733",Petrol,Manual,9.18,"Uppal, Hyderabad"
2018,Honda Jazz 1.5 VX i DTEC,"1,06,000",Diesel,Manual,5.95,Hyderabad
2014,Maruti Swift Dzire VDI,"54,000",Diesel,Manual,5.30,"Vanastalipuram, Hyderabad"
2015,Hyundai Grand i10 1.2 Kappa Asta,"49,513",Petrol,Manual,4.99,"Miyapur, Hyderabad"
2022,Maruti Swift VXI BSVI,"65,000",Petrol,Manual,7.50,"Saidabad Colony, Hyderabad"
2016,Maruti Vitara Brezza VDi,"92,000",Diesel,Manual,6.80,"Lb Nagar, Hyderabad"
2021,BMW 3 Series Gran Limousine 330 Li Luxury Line,"87,523",Petrol,Automatic,41,"Gandhi Bhawan, Hyderabad"
2015,Maruti Wagon R VXI BS IV,"60,000",Petrol,Manual,3.90,Hyderabad
2017,Hyundai Grand i10 1.2 Kappa Asta,"51,451",Petrol,Manual,4.78,"Miyapur, Hyderabad"
2016,Maruti Vitara Brezza VDi,"92,000",Diesel,Manual,6.80,"Lb Nagar, Hyderabad"
2016,Maruti Wagon R VXI 1.2,"50,542",Petrol,Manual,3.69,"Uppal, Hyderabad"
2017,Toyota Fortuner 2.8 2WD AT BSIV,"1,12,000",Diesel,Automatic,27.50,"Saidabad Colony, Hyderabad"
2015,Honda City i DTEC VX,"1,96,000",Diesel,Manual,5.75,"LB Nagar, Hyderabad"
2018,Maruti S Cross Zeta DDiS 200 SH,"1,30,000",Diesel,Manual,7.99,"Lb Nagar, Hyderabad"
2018,Hyundai Creta 1.6 SX,"1,03,302",Petrol,Manual,11.25,"Kukatpally, Hyderabad"
2013,Maruti Ritz VXi,"72,461",Petrol,Manual,3.14,"Uppal, Hyderabad"
2021,MG Gloster Savvy 6-Str,"57,646",Diesel,Automatic,36,"Madhapur, Hyderabad"
2018,Hyundai Creta 1.6 SX,"1,00,143",Petrol,Manual,9.78,"Kukatpally, Hyderabad"
2016,Hyundai Grand i10 Asta Option AT,"62,607",Petrol,Automatic,4.45,"Nanakramguda, Hyderabad"
2017,Mercedes-Benz GLC 220d 4MATIC Style,"84,800",Diesel,Automatic,30,"Madhapur, Hyderabad"
2018,Toyota Fortuner 2.8 4WD AT BSIV,"94,700",Diesel,Automatic,30.75,"Madhapur, Hyderabad"
2015,Volkswagen Polo 1.5 TDI Highline,"77,684",Diesel,Manual,5.22,"Miyapur, Hyderabad"
2015,Mercedes-Benz GLA Class 200 CDI SPORT,"59,635",Diesel,Automatic,18.99,"Jntu Kukat Pally, Hyderabad"
2017,Maruti Swift Dzire AMT VDI,"91,500",Diesel,Automatic,6.90,"Nagol, Hyderabad"
